Performance,KNeighborsClassifier (Fashion Set),LogisticRegression (Fashion Set),DecisionTreeClassifier (Fashion Set),SGDClassifier (Fashion Set),KNeighborsClassifier (News Set),LogisticRegression (News Set),DecisionTreeClassifier (News Set),SGDClassifier (News Set)
Accuracy, 0.759000 (0.031765),0.757000 (0.041243), 0.998000 (0.004000),,,,,
Homogeneity_score, 0.727566 (0.039289), 0.716231 (0.035583), 0.998614 (0.004157),,,,,
Completeness_score,0.736468 (0.041523),0.718749 (0.035690), 0.995594 (0.006746),,,,,
V_measure_score, 0.731973 (0.040255), 0.717481 (0.035563), 0.998614 (0.004157),,,,,
$common_metric_,,,,,,,,
Time (score/cpu-time),,,,,,,,
$made_up_metric_,,,,,,,,
;;;;;;;;,,,,,,,,
Rank,KNeighborsClassifier (Fashion Set),LogisticRegression (Fashion Set),DecisionTreeClassifier (Fashion Set),SGDClassifier (Fashion Set),KNeighborsClassifier (News Set),LogisticRegression (News Set),DecisionTreeClassifier (News Set),SGDClassifier (News Set)
Accuracy,,,,,,,,
Homogeneity_score,,,,,,,,
Completeness_score,,,,,,,,
V_measure_score,,,,,,,,
$common_metric_,,,,,,,,
Time (score/cpu-time),,,,,,,,
$made_up_metric_,,,,,,,,
;;;;;;;;,,,,,,,,
Rank Frequency ,KNeighborsClassifier (Fashion Set),LogisticRegression (Fashion Set),DecisionTreeClassifier (Fashion Set),SGDClassifier (Fashion Set),,,,
Rank 1,,,,,,,,
Rank 2,,,,,,,,
Rank 3,,,,,,,,
Rank 4,,,,,,,,
