Performance,KNeighborsClassifier (Fashion-mnist_train),LogisticRegression (Fashion-mnist_train),DecisionTreeClassifier (Fashion-mnist_train),SGDClassifier (Fashion-mnist_train),KNeighborsClassifier (OnlineNewPopularity),LogisticRegression (OnlineNewPopularity),DecisionTreeClassifier (OnlineNewPopularity),SGDClassifier (OnlineNewPopularity)
Accuracy,0.759,0.757,0.998,0.716,0.014,0.026,0.621,0.007
Homogeneity_score,0.727566,0.716231,0.998614,0.70522,0.658899,0.695869,0.967946,0.192351
Normalized_mutual_info_score,0.736468,0.718749,0.995594,0.709308,0.800731,0.81573,0.996685,0.767279
Completeness_score,0.731973,0.717481,0.998614,0.700897,0.718147,0.745842,0.984365,0.245009
V_measure_score,0.731995,0.717485,0.995564,0.711396,0.72391,0.750687,0.982189,0.328186
Accuracy per CPU second,0.43,0.05,0.8,1,0.15,0,1,0.01
$made_up_metric_2,,,,,,,,
,,,,,,,,
Rank,KNeighborsClassifier (Fashion-mnist_train),LogisticRegression (Fashion-mnist_train),DecisionTreeClassifier (Fashion-mnist_train),SGDClassifier (Fashion-mnist_train),KNeighborsClassifier (OnlineNewPopularity),LogisticRegression (OnlineNewPopularity),DecisionTreeClassifier (OnlineNewPopularity),SGDClassifier (OnlineNewPopularity)
Accuracy,2,3,1,4,3,2,1,4
Homogeneity_score,2,3,1,4,3,2,1,4
Normalized_mutual_info_score,2,3,1,4,3,2,1,4
Completeness_score,2,3,1,4,3,2,1,4
V_measure_score,2,3,1,4,3,2,1,4
Accuracy per CPU second,3,4,2,1,2,4,1,3
$made_up_metric_2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,
Rank Frequency,KNeighborsClassifier,LogisticRegression,DecisionTreeClassifier,SGDClassifier,,,,
Rank 1,0,0,11,1,,,,
Rank 2,6,5,1,0,,,,
Rank 3,6,5,0,1,,,,
Rank 4,0,2,0,10,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Novel Algorithm,KNeighborsClassifier,,,,,,
,Baseline Algorithm 1,LogisticRegression,,,,,,
,Baseline Algorithm 2,DecisionTreeClassifier,,,,,,
,Baseline Algorithm 3,SGDClassifier,,,,,,
,Dataset 1,Fashion-mnist_train,,,,,,
,Dataset 2,OnlineNewPopularity,,,,,,
,Common Metric 1,Accuracy,,,,,,
,Common Metric 2,Homogeneity_score,,,,,,
,Common Metric 3,Normalized_mutual_info_score,,,,,,
,Common Metric 4,Completeness_score,,,,,,
,Common Metric 5,V_measure_score,,,,,,
,Made Up Metric 1,Accuracy per CPU second,,,,,,
,Made Up Metric 2,$made_up_metric_2,,,,,,
